Target: GroundStatSat

Observer: BroncoSpace
Start Time (UTC)            Stop Time (UTC)               Duration (s)         
30 Jul 2024 05:43:39.266    30 Jul 2024 05:44:10.598      31.332394551    
30 Jul 2024 14:51:06.185    30 Jul 2024 14:52:16.580      70.395223936    
30 Jul 2024 16:23:37.167    30 Jul 2024 16:27:21.581      224.41400669    
31 Jul 2024 03:53:13.762    31 Jul 2024 03:54:06.426      52.663877117    
31 Jul 2024 05:25:56.174    31 Jul 2024 05:29:24.625      208.45177023    
31 Jul 2024 16:06:43.161    31 Jul 2024 16:11:24.605      281.44456199    
01 Aug 2024 05:09:07.550    01 Aug 2024 05:13:36.799      269.24844277    
01 Aug 2024 15:50:07.737    01 Aug 2024 15:55:10.414      302.67696355    


Number of events : 74


Observer: SantaCruz
Start Time (UTC)            Stop Time (UTC)               Duration (s)         
02 Jul 2024 03:50:10.340    02 Jul 2024 03:50:48.567      38.226378732    
02 Jul 2024 05:23:23.147    02 Jul 2024 05:25:25.456      122.30920665    
02 Jul 2024 15:59:13.192    02 Jul 2024 16:04:14.893      301.70138797    
03 Jul 2024 05:06:48.263    03 Jul 2024 05:10:49.562      241.29943895    
03 Jul 2024 15:43:33.231    03 Jul 2024 15:48:33.423      300.19169804    
04 Jul 2024 04:50:45.024    04 Jul 2024 04:55:35.196      290.17157285    
04 Jul 2024 15:28:09.974    04 Jul 2024 15:32:36.331      266.35661074    
05 Jul 2024 04:34:56.130    05 Jul 2024 04:39:59.766      303.63514270    
05 Jul 2024 15:13:11.292    05 Jul 2024 15:16:15.872      184.57951049    
06 Jul 2024 04:19:19.758    06 Jul 2024 04:24:05.164      285.40539189    
06 Jul 2024 16:31:17.535    06 Jul 2024 16:34:26.214      188.67949579    
07 Jul 2024 04:04:00.604    07 Jul 2024 04:07:46.722      226.11796861    
07 Jul 2024 16:14:46.096    07 Jul 2024 16:19:17.299      271.20230778    
08 Jul 2024 03:49:54.151    08 Jul 2024 03:50:08.941      14.790423447    
08 Jul 2024 05:22:55.678    08 Jul 2024 05:24:56.252      120.57350016    
08 Jul 2024 15:58:40.776    08 Jul 2024 16:03:43.298      302.52209207    
09 Jul 2024 05:06:11.763    09 Jul 2024 05:10:12.401      240.63851918    
09 Jul 2024 15:42:52.704    09 Jul 2024 15:47:53.127      300.42307785    
10 Jul 2024 04:50:00.120    10 Jul 2024 04:54:49.399      289.27807318    
10 Jul 2024 15:27:21.714    10 Jul 2024 15:31:47.039      265.32479678    
11 Jul 2024 04:34:03.086    11 Jul 2024 04:39:05.013      301.92726968    
11 Jul 2024 15:12:16.312    11 Jul 2024 15:15:16.655      180.34297141    
12 Jul 2024 04:18:18.944    12 Jul 2024 04:23:01.024      282.08022950    
12 Jul 2024 16:30:07.761    12 Jul 2024 16:33:22.940      195.17947185    
13 Jul 2024 04:02:52.998    13 Jul 2024 04:06:32.153      219.15470045    
13 Jul 2024 16:13:29.627    13 Jul 2024 16:18:03.981      274.35400626    
14 Jul 2024 05:21:31.515    14 Jul 2024 05:23:41.380      129.86536097    
14 Jul 2024 15:57:17.035    14 Jul 2024 16:02:20.578      303.54263572    
15 Jul 2024 05:04:42.115    15 Jul 2024 05:08:45.815      243.70046414    
15 Jul 2024 15:41:21.823    15 Jul 2024 15:46:20.931      299.10815936    
16 Jul 2024 04:48:23.104    16 Jul 2024 04:53:12.907      289.80287042    
16 Jul 2024 15:25:44.259    16 Jul 2024 15:30:04.862      260.60304672    
17 Jul 2024 04:32:18.679    17 Jul 2024 04:37:18.560      299.88163981    
17 Jul 2024 15:10:34.642    17 Jul 2024 15:13:22.199      167.55694547    
18 Jul 2024 04:16:27.615    18 Jul 2024 04:21:04.057      276.44181271    
18 Jul 2024 16:28:03.905    18 Jul 2024 16:31:30.679      206.77398155    
19 Jul 2024 04:00:56.532    19 Jul 2024 04:04:22.791      206.25978385    
19 Jul 2024 16:11:20.788    19 Jul 2024 16:16:00.047      279.25820636    
20 Jul 2024 05:19:11.648    20 Jul 2024 05:21:39.493      147.84535768    
20 Jul 2024 15:55:01.926    20 Jul 2024 16:00:06.290      304.36400052    
21 Jul 2024 05:02:19.226    21 Jul 2024 05:06:29.372      250.14595228    
21 Jul 2024 15:39:00.492    21 Jul 2024 15:43:56.281      295.78930069    
22 Jul 2024 04:45:53.747    22 Jul 2024 04:50:45.263      291.51569180    
22 Jul 2024 15:23:17.579    22 Jul 2024 15:27:29.017      251.43716434    
23 Jul 2024 04:29:42.629    23 Jul 2024 04:34:39.836      297.20688629    
23 Jul 2024 15:08:07.436    23 Jul 2024 15:10:30.380      142.94421561    
24 Jul 2024 04:13:45.543    24 Jul 2024 04:18:13.475      267.93235908    
24 Jul 2024 16:25:06.168    24 Jul 2024 16:28:48.073      221.90535441    
25 Jul 2024 03:58:11.617    25 Jul 2024 04:01:17.050      185.43304985    
25 Jul 2024 16:08:19.278    25 Jul 2024 16:13:04.482      285.20413663    
26 Jul 2024 05:15:57.060    26 Jul 2024 05:18:48.254      171.19340388    
26 Jul 2024 15:51:55.021    26 Jul 2024 15:56:59.401      304.38013903    
27 Jul 2024 04:59:02.713    27 Jul 2024 05:03:21.952      259.23850725    
27 Jul 2024 15:35:48.275    27 Jul 2024 15:40:38.004      289.72916740    
28 Jul 2024 04:42:31.488    28 Jul 2024 04:47:25.367      293.87932217    
28 Jul 2024 15:20:01.486    28 Jul 2024 15:23:57.938      236.45207004    
29 Jul 2024 04:26:14.354    29 Jul 2024 04:31:07.613      293.25875246    
29 Jul 2024 15:04:59.128    29 Jul 2024 15:06:34.871      95.742484485    
29 Jul 2024 16:38:54.968    29 Jul 2024 16:40:21.178      86.209758266    
30 Jul 2024 04:10:12.322    30 Jul 2024 04:14:27.717      255.39502138    
30 Jul 2024 16:21:14.336    30 Jul 2024 16:25:13.250      238.91427600    
31 Jul 2024 03:54:39.670    31 Jul 2024 03:57:11.387      151.71657895    
31 Jul 2024 16:04:24.434    31 Jul 2024 16:09:15.724      291.29027560    
01 Aug 2024 05:11:48.028    01 Aug 2024 05:15:05.106      197.07806030    
01 Aug 2024 15:47:55.556    01 Aug 2024 15:52:58.311      302.75424575    


Number of events : 65


Observer: TexasUni
Start Time (UTC)            Stop Time (UTC)               Duration (s)         
02 Jul 2024 02:16:14.345    02 Jul 2024 02:18:35.655      141.31004435    
02 Jul 2024 14:22:25.713    02 Jul 2024 14:27:29.258      303.54491423    
03 Jul 2024 03:34:17.044    03 Jul 2024 03:36:56.782      159.73787043    
03 Jul 2024 14:06:53.525    03 Jul 2024 14:11:42.302      288.77702637    
04 Jul 2024 03:17:49.205    04 Jul 2024 03:22:09.570      260.36509004    
04 Jul 2024 13:51:43.410    04 Jul 2024 13:55:34.054      230.64430570    
05 Jul 2024 03:01:49.495    05 Jul 2024 03:06:47.758      298.26255912    
05 Jul 2024 13:37:38.077    05 Jul 2024 13:38:22.014      43.936943274    
06 Jul 2024 02:46:06.041    06 Jul 2024 02:51:03.374      297.33305991    
06 Jul 2024 14:54:19.045    06 Jul 2024 14:57:46.864      207.81891936    
07 Jul 2024 02:30:39.884    07 Jul 2024 02:34:55.488      255.60387064    
07 Jul 2024 14:37:53.385    07 Jul 2024 14:42:35.295      281.91024073    
08 Jul 2024 02:15:49.183    08 Jul 2024 02:18:06.009      136.82593319    
08 Jul 2024 14:21:53.834    08 Jul 2024 14:26:58.206      304.37253466    
09 Jul 2024 03:33:40.771    09 Jul 2024 03:36:20.418      159.64713214    
09 Jul 2024 14:06:13.632    09 Jul 2024 14:11:02.472      288.83990227    
10 Jul 2024 03:17:04.525    10 Jul 2024 03:21:24.593      260.06716336    
10 Jul 2024 13:50:56.091    10 Jul 2024 13:54:44.939      228.84812818    
11 Jul 2024 03:00:56.676    11 Jul 2024 03:05:53.853      297.17709994    
12 Jul 2024 02:45:05.404    12 Jul 2024 02:50:00.169      294.76544786    
12 Jul 2024 14:53:10.109    12 Jul 2024 14:56:43.982      213.87343509    
13 Jul 2024 02:29:32.149    13 Jul 2024 02:33:42.210      250.06058291    
13 Jul 2024 14:36:37.686    13 Jul 2024 14:41:22.447      284.76123079    
14 Jul 2024 02:14:38.913    14 Jul 2024 02:16:38.034      119.12092807    
14 Jul 2024 14:20:30.985    14 Jul 2024 14:25:35.840      304.85484791    
15 Jul 2024 03:32:08.976    15 Jul 2024 03:34:57.118      168.14232470    
15 Jul 2024 14:04:43.934    15 Jul 2024 14:09:30.344      286.41002427    
16 Jul 2024 03:15:26.930    16 Jul 2024 03:19:49.860      262.93007311    
16 Jul 2024 13:49:20.737    16 Jul 2024 13:53:01.921      221.18418426    
17 Jul 2024 02:59:12.017    17 Jul 2024 03:04:08.884      296.86699550    
18 Jul 2024 02:43:13.860    18 Jul 2024 02:48:04.714      290.85461267    
18 Jul 2024 14:51:07.423    18 Jul 2024 14:54:52.009      224.58547371    
19 Jul 2024 02:27:34.886    19 Jul 2024 02:31:35.026      240.14017114    
19 Jul 2024 14:34:29.921    19 Jul 2024 14:39:18.882      288.96177819    
20 Jul 2024 02:12:48.014    20 Jul 2024 02:14:06.951      78.937002062    
20 Jul 2024 14:18:17.170    20 Jul 2024 14:23:21.688      304.51891255    
21 Jul 2024 03:29:42.205    21 Jul 2024 03:32:45.845      183.64023274    
21 Jul 2024 14:02:24.426    21 Jul 2024 14:07:05.291      280.86555626    
22 Jul 2024 03:12:56.302    22 Jul 2024 03:17:24.833      268.53009146    
22 Jul 2024 13:46:57.682    22 Jul 2024 13:50:23.865      206.18243847    
23 Jul 2024 02:56:35.288    23 Jul 2024 03:01:32.264      296.97618037    
23 Jul 2024 15:05:59.973    23 Jul 2024 15:06:48.837      48.863741825    
24 Jul 2024 02:40:31.182    24 Jul 2024 02:45:16.259      285.07718443    
24 Jul 2024 14:48:11.149    24 Jul 2024 14:52:09.632      238.48361203    
25 Jul 2024 02:24:48.191    25 Jul 2024 02:28:32.705      224.51392222    
25 Jul 2024 14:31:29.825    25 Jul 2024 14:36:23.555      293.72970834    
26 Jul 2024 14:15:12.031    26 Jul 2024 14:20:14.651      302.61921737    
27 Jul 2024 03:26:20.905    27 Jul 2024 03:29:44.681      203.77673461    
27 Jul 2024 13:59:14.838    27 Jul 2024 14:03:45.974      271.13629463    
28 Jul 2024 03:09:32.250    28 Jul 2024 03:14:08.282      276.03196531    
28 Jul 2024 13:43:47.659    28 Jul 2024 13:46:48.290      180.63059966    
29 Jul 2024 02:53:05.969    29 Jul 2024 02:58:02.739      296.76999813    
29 Jul 2024 15:01:49.628    29 Jul 2024 15:03:51.459      121.83152398    
30 Jul 2024 02:36:56.933    30 Jul 2024 02:41:33.313      276.37944161    
30 Jul 2024 14:44:21.062    30 Jul 2024 14:48:34.989      253.92740933    
31 Jul 2024 02:21:12.452    31 Jul 2024 02:24:32.773      200.32027705    
31 Jul 2024 14:27:36.795    31 Jul 2024 14:32:34.842      298.04644966    
01 Aug 2024 14:11:14.921    01 Aug 2024 14:16:13.008      298.08658379    


Number of events : 58


