Target: GroundStatSat

Observer: BroncoSpace
Start Time (UTC)            Stop Time (UTC)               Duration (s)         
07 Jul 2024 13:06:01.813    07 Jul 2024 13:10:14.511      252.69727588    
08 Jul 2024 00:38:36.415    08 Jul 2024 00:39:37.743      61.328046955    
08 Jul 2024 02:11:40.312    08 Jul 2024 02:14:28.979      168.66746801    
08 Jul 2024 12:49:49.642    08 Jul 2024 12:54:45.412      295.76973512    
09 Jul 2024 01:55:12.722    09 Jul 2024 01:59:28.335      255.61260532    
09 Jul 2024 12:33:54.565    09 Jul 2024 12:39:00.422      305.85717978    
10 Jul 2024 01:39:05.850    10 Jul 2024 01:44:00.061      294.21098559    
10 Jul 2024 12:18:14.275    10 Jul 2024 12:23:01.889      287.61430982    
11 Jul 2024 01:23:10.814    11 Jul 2024 01:28:13.104      302.29014741    
11 Jul 2024 12:02:51.411    11 Jul 2024 12:06:47.251      235.83963937    
12 Jul 2024 01:07:26.997    12 Jul 2024 01:12:08.113      281.11656450    
12 Jul 2024 11:48:04.604    12 Jul 2024 11:49:57.987      113.38305466    
12 Jul 2024 13:21:35.710    12 Jul 2024 13:24:12.200      156.48994247    
13 Jul 2024 00:51:59.434    13 Jul 2024 00:55:40.045      220.61094004    
13 Jul 2024 13:04:46.113    13 Jul 2024 13:09:02.563      256.44996248    
14 Jul 2024 02:10:19.312    14 Jul 2024 02:13:13.227      173.91512676    
14 Jul 2024 12:48:26.639    14 Jul 2024 12:53:24.071      297.43220882    
15 Jul 2024 01:53:44.721    15 Jul 2024 01:58:02.383      257.66200139    
15 Jul 2024 12:32:24.250    15 Jul 2024 12:37:29.756      305.50592628    
16 Jul 2024 01:37:30.235    16 Jul 2024 01:42:24.446      294.21048708    
16 Jul 2024 12:16:36.956    16 Jul 2024 12:21:21.648      284.69270841    
17 Jul 2024 01:21:27.663    17 Jul 2024 01:26:27.666      300.00289336    
17 Jul 2024 12:01:07.994    17 Jul 2024 12:04:56.588      228.59434071    
18 Jul 2024 01:05:36.765    18 Jul 2024 01:10:12.306      275.54178931    
18 Jul 2024 11:46:22.478    18 Jul 2024 11:47:49.572      87.094123755    
18 Jul 2024 13:19:31.191    18 Jul 2024 13:22:22.610      171.41896341    
19 Jul 2024 00:50:03.707    19 Jul 2024 00:53:32.185      208.47803147    
19 Jul 2024 13:02:37.649    19 Jul 2024 13:07:00.254      262.60463200    
20 Jul 2024 02:08:03.903    20 Jul 2024 02:11:09.136      185.23224061    
20 Jul 2024 12:46:11.890    20 Jul 2024 12:51:11.414      299.52482030    
21 Jul 2024 01:51:23.815    21 Jul 2024 01:55:46.212      262.39633028    
21 Jul 2024 12:30:03.007    21 Jul 2024 12:35:06.996      303.98869892    
22 Jul 2024 01:35:02.426    22 Jul 2024 01:39:57.501      295.07503366    
22 Jul 2024 12:14:09.611    22 Jul 2024 12:18:48.430      278.81830292    
23 Jul 2024 01:18:52.916    23 Jul 2024 01:23:49.875      296.95901528    
23 Jul 2024 11:58:36.082    23 Jul 2024 12:02:11.413      215.33057458    
24 Jul 2024 01:02:55.736    24 Jul 2024 01:07:22.898      267.16225130    
